timestamp (ms),stateEstimate.x,stateEstimate.y,stateEstimate.z,motor.m1,motor.m2,motor.m3,motor.m4
37944,0.02972080558538437,0.2658126652240753,0.4852312207221985,52536,52268,56240,53203
37954,0.030285174027085304,0.26358669996261597,0.48485255241394043,52387,52559,56362,52106
37964,0.03115021251142025,0.2652888298034668,0.48449134826660156,53670,52245,56119,52363
37974,0.031131532043218613,0.26539528369903564,0.4841141700744629,53779,51874,55795,51221
37984,0.03169362246990204,0.2663593292236328,0.4850507080554962,52307,52399,56286,51964
37994,0.031783122569322586,0.2673109471797943,0.4847303330898285,52011,52904,56317,51425
38004,0.03064538724720478,0.26520296931266785,0.48441439867019653,51950,52707,56602,51050
38014,0.031704939901828766,0.2663322389125824,0.484119176864624,52844,53683,55565,50341
38024,0.03159358352422714,0.26624736189842224,0.4854767620563507,51245,52053,56161,50868
38034,0.030860615894198418,0.26817458868026733,0.485324501991272,51715,51850,56340,50406
38044,0.032118190079927444,0.26688525080680847,0.4851852357387543,52234,52107,56636,49592
38054,0.03165401518344879,0.26773542165756226,0.4850665330886841,52025,50443,56775,52179
38064,0.03153958544135094,0.26761889457702637,0.4849606454372406,52074,51854,56665,50680
38074,0.031362976878881454,0.26739469170570374,0.4866037368774414,52797,52482,55788,50090
38084,0.031219948083162308,0.2672092914581299,0.4866184592247009,52251,52150,56026,49077
38094,0.03106273151934147,0.2669883072376251,0.48664724826812744,50941,52224,56469,50200
38104,0.03158118203282356,0.26680630445480347,0.4866892695426941,52209,52018,56030,49504
38114,0.030821193009614944,0.26780450344085693,0.4868519902229309,49715,51794,56844,49630
38124,0.030618831515312195,0.2674986720085144,0.4869305491447449,52428,51548,55838,49446
38134,0.031482160091400146,0.26782822608947754,0.48701924085617065,51354,52476,55838,49756
38144,0.03126562014222145,0.2674580216407776,0.4871044456958771,51238,50177,56784,50775
38154,0.032561078667640686,0.2661045491695404,0.48717352747917175,50544,51929,57016,49138
38164,0.03160039335489273,0.2659337520599365,0.488019734621048,51092,51191,56529,51399
38174,0.030999645590782166,0.2648485004901886,0.48810163140296936,49186,51086,56958,50824
38184,0.031066834926605225,0.264200896024704,0.4881790280342102,49316,51442,56889,50653
38194,0.030589472502470016,0.2651078402996063,0.48824408650398254,50101,50428,57195,51028
38204,0.031044069677591324,0.2617039084434509,0.48815158009529114,51896,51677,55898,51685
38214,0.029966752976179123,0.26289263367652893,0.48814061284065247,50903,51399,56780,51344
38224,0.03102230839431286,0.2600703537464142,0.48808959126472473,52140,52158,55940,50541
38234,0.031627118587493896,0.26065200567245483,0.4880087971687317,52633,51576,55827,51471
38244,0.03279365971684456,0.2586545944213867,0.4888000786304474,52279,52004,55745,50911
38254,0.029920486733317375,0.25869736075401306,0.48874080181121826,51388,51359,56455,52041
38264,0.031368788331747055,0.25675180554389954,0.4886651337146759,52386,52077,55918,51448
38274,0.0314762108027935,0.25628364086151123,0.48856258392333984,52177,51540,56194,52387
38284,0.029556164517998695,0.25128453969955444,0.4884364604949951,50935,52456,56391,50658
38294,0.02904762513935566,0.25102829933166504,0.4899590313434601,49609,51898,57053,50309
38304,0.02927156537771225,0.25116363167762756,0.48991894721984863,48303,49912,58204,51164
38314,0.026976291090250015,0.251245379447937,0.48986300826072693,50065,50728,57312,51613
38324,0.025508146733045578,0.24721640348434448,0.4897933900356293,50057,49993,57620,51617
38334,0.0260162390768528,0.2478335052728653,0.4906740188598633,50070,51117,57025,50741
38344,0.027394922450184822,0.248062402009964,0.4906155467033386,53140,52345,55617,51413
38354,0.026573792099952698,0.24608685076236725,0.4905197322368622,53648,53081,55261,50315
38364,0.0269011277705431,0.24576351046562195,0.4903888702392578,53088,51038,56060,52645
